ID,Title,Status,Release,Description,RoadmapLink,MicrosoftNotes
500390,"Outlook: Snooze, Pin and Ignore in the read pop-out ribbon in New Outlook and Outlook for Web",In development,September CY2025,"Snooze, pin, and ignore actions are available in the read pop-out ribbon in Outlook for Web and Windows to improve triage efficiency and user control. #newoutlookforwindows",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500390,
499429,Microsoft Copilot (Microsoft 365): [Copilot Chat] Search based user RSVP status,In development,September CY2025,"Users will be able to search for meetings based on Self RSVP and Others RSVP status in Copilot Chat. Example prompts for a user looking for their own RSVP status include: ""Meetings I have accepted/declined/marked tentative for today"" ""Did I accept Project OKR review meeting"" ""List all events I have not RSVPed"". Example prompts for a user looking for other individuals' RSVP status include: ""List RSVP status of attendees for the review meeting"" ""Who all have accepted the next meeting?"" ""Will Sarah attend Project review meet?""",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499429,
500866,Microsoft Copilot (Microsoft 365): [Copilot Chat] Launch the full Microsoft 365 Copilot app when using Copilot Chat in the Microsoft 365 apps,In development,September CY2025,"When using the Copilot Chat side pane in Microsoft 365 apps, users will be able to launch the full Microsoft 365 Copilot app from a dedicated button. Additionally, accessing some features in the side pane will launch the full app.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500866,
500864,Microsoft Copilot (Microsoft 365): Reference a Loop or Page when creating a presentation with Copilot,In development,September CY2025,You can now reference a Loop or Page when you create a presentation with Copilot within the PowerPoint application.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500864,
500863,Microsoft Copilot (Microsoft 365): Reference a Loop or Page when creating a presentation with Copilot,In development,September CY2025,You can now reference a Loop or Page when you create a presentation with Copilot within the PowerPoint application.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500863,
500862,Microsoft Copilot (Microsoft 365): Reference a Loop or Page when creating a presentation with Copilot,In development,September CY2025,You can now reference a Loop or Page when you create a presentation with Copilot within the PowerPoint application.,https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500862,
500696,Microsoft Teams: New Organization chart in the Profile Card for Web and Desktop,In development,September CY2025,"With the new org chart users will not only be able to contextaulize a person, they will also be able to scroll through visited profiles, see a manager's reports counts, and more.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500696,
500379,Microsoft Teams: AI Workflows in Workflows app,In development,September CY2025,"With AI Workflows in the Workflows app, you will have access to custom AI-powered templates to automate complex tasks and streamline daily operations. AI Workflows enhance productivity by simplifying task execution and helping users stay organized throughout the day. Admins can enable this feature to equip users with intelligent automation tools that make managing work more efficient and intuitive.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500379,
499901,Outlook: Automatic Draft Minimize,In development,September CY2025,"When users close a draft in progress, it automatically minimizes instead of closing completely. The minimized draft can now be quickly accessed via a button that appears in the message list.RetryClaude can make mistakes. Please double-check responses.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=499901,
500873,Microsoft 365: eSignature Smart Tagging for Electronically Signed Documents,In development,September CY2025,"Documents that have been electronically signed will now be automatically recognized and tagged as “Signed” upon upload to SharePoint. This enhancement also applies retroactively as existing e-signed files will be updated with the appropriate tags. To give users more visibility and control, we’re introducing two optional metadata columns for document libraries: Electronically Signed – Indicates whether a document has been eSigned. Signature Provider – Displays the service used for the eSignature. This feature is available exclusively to tenants with eSignature enabled, helping streamline compliance tracking and document management.",https://www.microsoft.com/en-us/microsoft-365/roadmap?featureid=500873,
